,words,freq
1045,civet,1
1046,civic,1
1047,civil,15
1048,clack,1
1049,clade,1
1050,claim,15
1051,clair,1
1052,clamp,1
1053,clams,3
1054,clang,9
1055,clank,8
1056,clans,2
1057,claps,6
1058,clara,1
1059,clare,1
1060,clark,1
1061,clash,5
1062,clasp,8
1063,class,13
1064,claus,1
1065,claws,10
1066,clean,18
1067,clear,18
1068,cleat,3
1069,clefs,1
1070,cleft,8
1071,clerk,10
1072,clews,2
1073,click,5
1074,cliff,12
1075,climb,13
1076,clime,9
1077,cline,1
1078,cling,9
1079,clink,1
1080,clint,1
1081,clips,1
1082,clits,1
1083,clive,1
1084,cloak,13
1085,clock,17
1086,clods,10
1087,clogs,1
1088,clomp,1
1089,clone,1
1090,clonk,1
1091,clops,1
1092,close,18
1093,cloth,15
1094,clots,1
1095,cloud,18
1096,clout,3
1097,clove,3
1098,clown,10
1099,cloys,1
1100,clubs,5
1101,cluck,3
1102,clued,1
1103,clues,1
1104,clump,4
1105,clung,10
1106,clunk,1
1107,clvii,1
1108,clxii,1
1109,clxiv,1
1110,clxix,1
1111,clxvi,1
1112,clyde,1
1113,coach,14
1114,coals,14
1115,coast,17
1116,coats,14
1117,cobol,1
1118,cobra,1
1119,cocci,1
1120,cocks,3
1121,cocky,1
1122,cocoa,8
1123,cocos,1
1124,codas,1
1125,coded,1
1126,coder,1
1127,codes,1
1128,codex,1
1129,codon,1
1130,coeds,1
1131,cohan,1
1132,cohen,1
1133,cohos,1
1134,coifs,1
1135,coils,10
1136,coins,14
1137,coked,1
1138,cokes,1
1139,colas,1
1140,colby,1
1141,colds,6
1142,coley,1
1143,colic,1
1144,colin,1
1145,colon,1
1146,color,12
1147,colts,4
1148,comas,1
1149,combo,1
1150,combs,3
1151,comdr,1
1152,comer,8
1153,comes,18
1154,comet,4
1155,comfy,1
1156,comic,12
1157,comma,1
1158,compo,1
1159,comps,1
1160,comte,1
1161,conan,1
1162,conch,1
1163,condo,1
1164,coned,1
1165,cones,2
1166,conga,1
1167,congo,4
1168,conic,1
1169,conks,1
1170,contd,1
1171,cooed,1
1172,cooke,1
1173,cooks,7
1174,cools,1
1175,coons,1
1176,coops,1
1177,coors,1
1178,coots,1
1179,copay,1
1180,coped,1
1181,copes,1
1182,copra,1
1183,copse,1
1184,coral,10
1185,cords,14
1186,cored,1
1187,corer,1
1188,cores,1
1189,corey,1
1190,corfu,1
1191,corgi,1
1192,corks,1
1193,corms,1
1194,corns,1
1195,corny,1
1196,corot,1
1197,corps,10
1198,cosby,1
1199,costs,5
1200,cotes,2
1201,couch,11
1202,cough,8
1203,could,19
1204,count,17
1205,coupe,1
1206,coups,1
1207,court,18
1208,coven,1
1209,cover,17
1210,coves,2
1211,covet,9
1212,covey,1
1213,covid,1
1214,cowed,1
1215,cower,1
1216,cowls,1
1217,coxed,1
1218,coxes,5
1219,coyer,1
1220,coyle,1
1221,coyly,1
1222,coypu,1
1223,cozen,1
1224,crabs,11
1225,crack,14
1226,craft,16
1227,crags,4
1228,craig,1
1229,cramp,1
1230,crams,1
1231,crane,7
1232,crank,2
1233,crape,4
1234,craps,1
1235,crash,14
1236,crass,1
1237,crate,1
1238,crave,3
1239,crawl,10
1240,craws,1
1241,crays,1
1242,craze,1
1243,crazy,13
1244,creak,2
1245,cream,10
1246,crecy,1
1247,credo,1
1248,creed,8
1249,creek,3
1250,creel,1
1251,creep,11
1252,crees,1
1253,creme,1
1254,creon,1
1255,crepe,1
1256,crept,13
1257,cress,1
1258,crest,10
1259,crete,7
1260,crews,11
1261,cribs,1
1262,crick,1
1263,cried,19
1264,crier,3
1265,cries,15
1266,crime,15
1267,crimp,1
1268,crisp,4
1269,croak,1
1270,croat,1
1271,croce,1
1272,crock,1
1273,croft,15
1274,crone,1
1275,crony,2
1276,crook,1
1277,croon,1
1278,crops,11
1279,cross,18
1280,croup,1
1281,crowd,17
1282,crown,18
1283,crows,7
1284,crude,7
1285,cruel,16
1286,cruet,9
1287,cruft,1
1288,crumb,3
1289,cruse,8
1290,crush,11
1291,crust,8
1292,crypt,1
1293,cuban,1
1294,cubed,1
1295,cuber,1
1296,cubes,1
1297,cubic,7
1298,cubit,15
1299,cuffs,8
1300,cuing,1
1301,culls,1
1302,cults,1
1303,cumin,1
1304,cunts,1
1305,cupid,1
1306,cuppa,1
1307,curbs,2
1308,curds,2
1309,cured,9
1310,curer,1
1311,cures,4
1312,curia,1
1313,curie,1
1314,curio,1
1315,curls,9
1316,curly,10
1317,curry,1
1318,curse,17
1319,curve,11
1320,curvy,1
1321,cushy,1
1322,cusps,1
1323,cuter,1
1324,cutey,1
1325,cutie,1
1326,cutup,1
1327,cuzco,1
1328,cycle,1
1329,cynic,1
1330,cyril,1
1331,cyrus,12
1332,cysts,1
1333,czars,1
1334,czech,1
1335,daces,1
1336,dacha,1
1337,daddy,1
1338,daffy,1
1339,dagos,1
1340,daily,17
1341,dairy,9
1342,daisy,11
1343,dakar,1
1344,dalai,1
1345,dales,2
1346,daley,1
1347,dally,5
1348,dames,5
1349,damns,1
1350,damon,1
1351,damps,2
1352,danae,1
1353,dance,17
1354,dandy,6
1355,danes,2
1356,dangs,1
1357,danny,1
1358,dante,5
1359,darby,1
1360,darcy,1
1361,dared,15
1362,daren,4
1363,darer,1
1364,dares,10
1365,darin,1
1366,dario,1
1367,darla,1
1368,darns,1
1369,darth,1
1370,darts,11
1371,daryl,1
1372,dated,3
1373,dater,1
1374,dates,5
1375,datum,1
1376,daubs,1
1377,daunt,1
1378,davao,1
1379,david,19
1380,davis,9
1381,davit,1
1382,dawes,1
1383,dawns,1
1384,dayan,1
1385,dazed,10
1386,dazes,1
1387,dding,1
1388,deals,12
1389,dealt,16
1390,deana,1
1391,deann,1
1392,deans,1
1393,dears,9
1394,deary,1
1395,death,19
1396,debar,1
1397,debby,1
1398,debit,1
1399,debra,1
1400,debts,10
1401,debug,1
1402,debut,1
1403,decaf,1
1404,decal,1
1405,decay,10
1406,decca,1
1407,deced,1
1408,decks,12
1409,decor,1
1410,decoy,1
1411,decry,1
1412,deeds,16
1413,deems,1
1414,deena,1
1415,deeps,10
1416,deere,13
1417,defer,11
1418,defoe,1
1419,defog,1
1420,degas,1
1421,deice,1
1422,deify,1
1423,deign,3
1424,deism,1
1425,deist,1
1426,deity,12
1427,delay,16
1428,delft,1
1429,delhi,1
1430,delia,2
1431,delis,1
1432,della,1
1433,dells,1
1434,delta,2
1435,delve,1
1436,demob,1
1437,demon,8
1438,demos,1
1439,demur,3
1440,deneb,1
1441,denim,1
1442,denis,1
1443,denny,1
1444,dense,13
1445,dents,6
1446,depot,2
1447,depth,13
1448,derby,1
1449,derek,1
1450,desks,2
1451,deter,2
1452,detox,1
1453,deuce,5
1454,devil,18
1455,devin,1
1456,devon,1
1457,dewar,1
1458,dewey,1
1459,dhaka,1
1460,dhoti,1
1461,dhows,1
1462,dials,1
1463,diana,14
1464,diane,1
1465,diann,1
1466,diary,3
1467,diced,1
1468,dices,1
1469,dicey,1
1470,dicks,1
1471,dicta,1
1472,didst,17
1473,diego,1
1474,diets,1
1475,diffs,1
1476,digit,1
1477,dijon,1
1478,diked,1
1479,dikes,1
1480,dildo,1
1481,dills,1
1482,dilly,1
1483,dimer,1
1484,dimes,1
1485,dimly,10
1486,dinah,12
1487,dinar,1
1488,dined,13
1489,diner,1
1490,dines,1
1491,dingo,1
1492,dings,1
1493,dingy,4
1494,dinky,1
1495,diode,1
1496,dippy,1
1497,dipso,1
1498,dirac,1
1499,direr,1
1500,dirge,8
1501,dirks,1
1502,dirty,14
1503,disco,1
1504,discs,1
1505,dishy,1
1506,disks,1
1507,ditch,12
1508,ditsy,1
1509,ditto,2
1510,ditty,1
1511,divan,1
1512,divas,1
1513,dived,12
1514,diver,4
1515,dives,4
1516,divot,1
1517,divvy,1
1518,dixie,1
1519,dixon,15
1520,dizzy,7
1521,dobro,1
1522,docks,9
1523,dodge,8
1524,dodgy,1
1525,dodos,1
1526,doers,10
1527,doffs,1
1528,doges,1
1529,doggy,1
1530,dogie,1
1531,dogma,4
1532,doily,1
1533,doing,18
1534,dolby,1
1535,doled,1
1536,doles,1
1537,dolls,2
1538,dolly,1
1539,dolor,1
1540,dolts,1
1541,domed,3
1542,domes,2
1543,donas,1
1544,dongs,1
1545,donna,1
1546,donne,1
1547,donny,1
1548,donor,1
1549,dooms,1
1550,doors,18
1551,doped,1
1552,doper,1
1553,dopes,1
1554,dopey,1
1555,doric,2
1556,doris,1
1557,dorks,1
1558,dorky,1
1559,dorms,1
1560,dosed,1
1561,doses,1
1562,doted,8
1563,doter,1
1564,dotes,2
1565,dotty,2
1566,douay,1
1567,doubt,19
1568,dough,13
1569,douro,1
1570,douse,1
1571,dover,4
1572,doves,10
1573,dowdy,1
1574,dowel,1
1575,dower,1
1576,downs,13
1577,downy,4
1578,dowry,4
1579,dowse,1
1580,doyen,1
1581,doyle,1
1582,dozed,1
1583,dozen,12
1584,dozes,1
1585,drabs,1
1586,draco,1
1587,draft,1
1588,drags,4
1589,drain,8
1590,drake,8
1591,drama,9
1592,drams,6
1593,drank,14
1594,drano,1
1595,drape,3
1596,drawl,3
1597,drawn,17
1598,draws,10
1599,drays,1
1600,dread,16
1601,dream,18
1602,drear,2
1603,dregs,4
1604,dress,17
1605,dried,16
1606,drier,1
1607,dries,1
1608,drift,12
1609,drill,1
1610,drink,19
1611,drips,1
1612,drive,17
1613,droid,1
1614,droll,9
1615,drone,2
1616,drool,1
1617,droop,8
1618,drops,15
1619,dross,9
1620,drove,15
1621,drown,13
1622,drubs,1
1623,drugs,4
1624,druid,1
1625,drums,13
1626,drunk,15
1627,drupe,1
1628,dryad,1
1629,dryer,1
1630,dryly,4
1631,duane,1
1632,dubai,1
1633,dubhe,1
1634,ducal,1
1635,ducat,1
1636,duchy,1
1637,ducks,8
1638,ducky,1
1639,ducts,1
1640,duded,1
1641,dudes,1
1642,duels,3
1643,duets,1
1644,duffs,1
1645,duffy,1
1646,dukes,12
1647,dulls,1
1648,dully,1
1649,dumas,1
1650,dumbo,1
1651,dummy,1
1652,dumps,1
1653,dumpy,1
1654,dunce,6
1655,dunes,1
1656,dungs,1
1657,dunks,1
1658,dunne,1
1659,dunno,1
1660,duped,6
1661,duper,1
1662,dupes,1
1663,duple,1
1664,duran,1
1665,durer,1
1666,durex,1
1667,duroc,1
1668,durst,13
1669,durum,1
1670,dusky,11
1671,dusts,1
1672,dusty,8
1673,dutch,13
1674,duvet,1
1675,dvina,1
1676,dwarf,4
1677,dweeb,1
1678,dwell,19
1679,dwelt,18
1680,dyers,1
1681,dying,16
1682,dykes,1
1683,dylan,1
1684,dyson,1
1685,eager,17
1686,eagle,15
1687,eared,1
1688,earle,1
1689,earls,3
1690,early,18
1691,earns,1
1692,earth,19
1693,eased,4
1694,easel,1
1695,eases,1
1696,easts,1
1697,eaten,17
1698,eater,8
1699,eaton,1
1700,eaves,1
1701,ebbed,1
1702,ebert,1
1703,ebola,1
1704,ebony,5
1705,echos,1
1706,eclat,4
1707,edams,1
1708,eddie,1
1709,edema,1
1710,edens,1
1711,edgar,1
1712,edged,9
1713,edger,1
1714,edges,11
1715,edict,2
1716,edify,5
1717,edith,1
1718,edits,1
1719,edsel,1
1720,educe,1
1721,edwin,2
1722,eerie,3
1723,effed,1
1724,effie,1
1725,efren,1
1726,egged,1
1727,egret,1
1728,egypt,19
1729,eider,1
1730,eight,18
1731,eject,1
1732,eking,1
1733,eland,1
1734,elate,6
1735,elbow,13
1736,elder,15
1737,eldon,1
1738,elect,13
1739,elegy,1
1740,elena,1
1741,elfin,2
1742,elgar,1
1743,elias,13
1744,elide,1
1745,eliot,1
1746,elisa,1
1747,elise,1
1748,elite,1
1749,eliza,8
1750,ellen,1
1751,ellie,1
1752,ellis,1
1753,elmer,1
1754,elope,1
1755,elroy,1
1756,elsie,1
1757,elton,19
1758,elude,6
1759,elver,1
1760,elves,8
1761,elvia,1
1762,elvin,1
1763,elvis,1
1764,elway,1
1765,emacs,1
1766,email,3
1767,embed,1
1768,ember,1
1769,emcee,1
1770,emend,1
1771,emery,1
1772,emile,1
1773,emily,1
1774,emirs,1
1775,emits,1
1776,emoji,1
1777,emory,1
1778,emote,1
1779,empty,17
1780,enact,2
1781,ended,17
1782,endow,3
1783,endue,1
1784,enema,1
1785,enemy,18
1786,enjoy,16
1787,ennui,5
