,answer,n_tries,last_n_choices,won,difficulty_level
2601,hertz,4.3,2.12,0.98,medium
2617,hilda,4.3,2.24,0.96,medium
3074,krona,4.3,2.08,0.96,medium
3095,laird,4.3,1.58,0.99,medium
3738,munoz,4.3,1.69,1.0,medium
6439,yards,4.3,8.45,0.92,medium
2568,heave,4.3,3.05,1.0,medium
92,agnew,4.3,1.51,1.0,medium
4855,sarto,4.3,1.46,1.0,medium
257,aries,4.3,2.69,0.94,medium
4670,riots,4.3,1.95,0.98,medium
1636,duchy,4.3,1.36,0.96,medium
1409,decor,4.3,1.71,0.98,medium
3521,mcjob,4.3,1.31,1.0,medium
175,amgen,4.3,1.38,0.97,medium
520,betty,4.3,6.88,0.99,medium
3794,nasty,4.3,3.68,0.97,medium
4030,oxbow,4.3,1.29,1.0,medium
2770,ilene,4.3,2.46,1.0,medium
6157,vocab,4.3,1.34,1.0,medium
6142,virgo,4.3,2.9,0.99,medium
335,awake,4.3,6.75,0.98,medium
1740,elena,4.3,1.23,1.0,medium
3024,kiowa,4.3,1.57,0.99,medium
5882,trend,4.3,1.37,1.0,medium
2817,iotas,4.31,2.21,0.98,medium
2798,infra,4.31,1.42,1.0,medium
3366,luigi,4.31,1.8,1.0,medium
215,anode,4.31,1.45,1.0,medium
5285,sonar,4.31,1.85,0.99,medium
6462,yogic,4.31,1.34,1.0,medium
165,alyce,4.31,1.32,0.99,medium
3786,nancy,4.31,12.51,0.99,medium
5778,timon,4.31,1.4,0.98,medium
219,antes,4.31,1.35,0.96,medium
6377,words,4.31,11.01,0.96,medium
5491,stuff,4.31,4.58,0.99,medium
2995,kenya,4.31,1.85,0.99,medium
1122,cocoa,4.31,4.02,0.99,medium
2298,glare,4.31,7.34,0.96,medium
4177,peter,4.31,9.48,0.98,medium
1440,deneb,4.31,1.49,1.0,medium
3729,mulch,4.31,2.25,1.0,medium
3306,login,4.31,1.29,1.0,medium
3303,logan,4.31,3.61,0.99,medium
5714,tharp,4.31,1.21,0.99,medium
3532,mecca,4.31,2.38,1.0,medium
3097,laity,4.31,1.68,0.99,medium
5371,spool,4.31,2.03,0.99,medium
3017,kinda,4.31,1.68,1.0,medium
4095,passe,4.31,3.06,0.99,medium
1848,evoke,4.31,3.08,0.99,medium
1933,feint,4.31,1.45,1.0,medium
616,blurt,4.31,1.35,1.0,medium
370,baird,4.31,1.5,0.99,medium
2931,josie,4.31,2.05,1.0,medium
450,beams,4.31,8.43,0.99,medium
607,blowy,4.31,1.64,0.99,medium
5447,stiff,4.31,8.37,1.0,medium
1992,fiona,4.31,1.17,0.99,medium
5944,tuned,4.31,3.91,0.97,medium
4780,runic,4.31,1.44,0.99,medium
2794,inept,4.31,1.26,1.0,medium
1428,delft,4.31,4.54,1.0,medium
5824,tongs,4.31,6.51,0.94,medium
2757,icons,4.31,3.12,0.98,medium
5898,trina,4.31,1.13,1.0,medium
4331,posts,4.31,8.22,0.99,medium
3172,leech,4.31,3.21,1.0,medium
3515,mayst,4.31,4.78,0.98,medium
5241,snick,4.31,1.75,1.0,medium
2082,folly,4.31,8.45,0.98,medium
2177,fused,4.31,14.2,0.96,medium
1521,dobro,4.31,2.11,1.0,medium
5890,trice,4.31,67.3,0.96,medium
1144,colin,4.32,1.84,1.0,medium
2838,isuzu,4.32,1.31,1.0,medium
2518,hanoi,4.32,3.32,1.0,medium
4732,ropes,4.32,9.1,0.97,medium
4154,peony,4.32,2.14,0.98,medium
797,buoys,4.32,2.63,0.95,medium
758,brows,4.32,5.92,1.0,medium
5523,supra,4.32,1.51,1.0,medium
1051,clair,4.32,2.99,0.99,medium
5466,stoop,4.32,10.33,0.95,medium
3841,nigga,4.32,11.66,0.99,medium
6137,viola,4.32,3.27,0.99,medium
3728,mujib,4.32,1.54,1.0,medium
5378,sprat,4.32,1.61,0.99,medium
2748,iambs,4.32,66.76,0.96,medium
1153,comes,4.32,11.7,0.95,medium
3077,kudos,4.32,1.69,0.97,medium
1112,clyde,4.32,1.46,1.0,medium
409,baron,4.32,3.57,1.0,medium
3379,lurch,4.32,3.92,0.99,medium
3333,loser,4.32,1.58,0.95,medium
6379,works,4.32,5.1,0.99,medium
6419,xhosa,4.32,1.17,1.0,medium
1202,cough,4.32,6.61,0.97,medium
1674,duvet,4.32,1.36,0.99,medium
2067,flyby,4.32,2.24,1.0,medium
2196,gallo,4.32,1.37,1.0,medium
1287,cruft,4.32,1.43,1.0,medium
4576,redis,4.32,1.36,0.98,medium
2750,iblis,4.32,1.41,1.0,medium
662,boost,4.32,1.55,0.98,medium
679,botch,4.32,2.37,1.0,medium
4806,sadat,4.32,1.57,1.0,medium
4228,pitas,4.32,1.53,0.99,medium
5673,teeny,4.32,1.99,0.99,medium
4218,pinto,4.32,2.05,1.0,medium
5761,tides,4.32,7.54,0.95,medium
4230,pithy,4.32,1.46,0.96,medium
4243,plank,4.32,7.59,0.99,medium
2375,gouty,4.32,3.23,1.0,medium
5872,traps,4.32,5.17,0.97,medium
3947,ogled,4.32,1.65,1.0,medium
5940,tumid,4.32,1.41,0.99,medium
2360,goose,4.32,5.28,1.0,medium
4259,plebs,4.33,1.45,0.97,medium
1714,edges,4.33,4.75,0.97,medium
2223,gatun,4.33,1.56,0.99,medium
5665,tears,4.33,9.54,0.88,medium
855,cairo,4.33,1.6,1.0,medium
4261,plies,4.33,1.43,0.99,medium
251,argos,4.33,1.6,0.98,medium
1859,exits,4.33,3.74,0.97,medium
2585,hello,4.33,4.32,0.98,medium
6434,yakut,4.33,1.65,1.0,medium
2895,jewel,4.33,5.89,0.95,medium
287,aspca,4.33,1.39,0.99,medium
2842,ivied,4.33,1.35,0.99,medium
3143,lauri,4.33,1.55,1.0,medium
3557,merak,4.33,1.28,0.99,medium
3526,mealy,4.33,2.94,1.0,medium
2453,gulag,4.33,2.94,1.0,medium
5837,toque,4.33,1.9,0.99,medium
5838,torah,4.33,2.04,0.99,medium
800,burgh,4.33,1.57,0.99,medium
5208,smack,4.33,2.7,0.99,medium
1032,ciaos,4.33,1.41,0.98,medium
4019,ovate,4.33,1.51,1.0,medium
3998,orval,4.33,1.22,1.0,medium
1024,chump,4.33,2.26,1.0,medium
1962,fidel,4.33,1.86,0.98,medium
2353,goods,4.33,13.06,0.96,medium
4756,royce,4.33,1.48,0.98,medium
2588,helps,4.33,4.61,0.98,medium
2586,helms,4.33,4.55,0.98,medium
2252,genoa,4.33,3.22,0.99,medium
2253,genre,4.33,1.34,0.98,medium
4442,pylon,4.33,1.67,0.99,medium
3969,omits,4.33,1.89,0.97,medium
1664,duran,4.34,1.96,0.99,medium
3430,major,4.34,6.53,0.99,medium
3458,manna,4.34,15.29,1.0,medium
6409,wuhan,4.34,1.33,0.99,medium
517,bethe,4.34,1.4,1.0,medium
527,bicep,4.34,1.82,1.0,medium
1530,dogie,4.34,1.32,1.0,medium
4384,prosy,4.34,1.61,0.98,medium
1089,clone,4.34,1.25,1.0,medium
2300,glaxo,4.34,2.5,0.98,medium
5293,sooty,4.34,1.94,0.99,medium
6114,vexed,4.34,15.33,0.97,medium
3823,never,4.34,9.86,0.98,medium
5074,shunt,4.34,1.28,0.99,medium
1781,ended,4.34,8.86,0.98,medium
4579,reedy,4.34,1.55,0.99,medium
4591,reich,4.34,1.47,1.0,medium
6219,wants,4.34,73.53,0.98,medium
6234,waugh,4.34,1.65,1.0,medium
6249,wedge,4.34,2.41,1.0,medium
3629,miser,4.34,13.58,0.95,medium
1336,dacha,4.34,1.92,1.0,medium
5434,steep,4.34,3.35,1.0,medium
4421,pupae,4.34,1.23,1.0,medium
4455,qualm,4.34,1.71,0.99,medium
6145,vised,4.34,1.88,0.97,medium
4152,penny,4.34,7.78,0.98,medium
3587,midge,4.34,1.61,0.99,medium
4974,serif,4.34,1.71,1.0,medium
1624,druid,4.34,2.13,1.0,medium
4951,segre,4.34,1.38,1.0,medium
5551,sweep,4.34,2.36,0.99,medium
4035,pablo,4.34,1.4,1.0,medium
1850,ewing,4.34,3.0,1.0,medium
5139,skimp,4.34,1.5,0.99,medium
786,bully,4.34,8.59,0.99,medium
2631,hired,4.34,73.58,0.93,medium
1278,crops,4.34,3.88,1.0,medium
5230,snake,4.34,3.06,0.98,medium
4090,parse,4.34,1.18,1.0,medium
126,algae,4.34,1.32,1.0,medium
246,ardor,4.34,1.72,0.99,medium
4493,rabin,4.34,1.62,0.98,medium
2227,gaunt,4.34,10.61,0.94,medium
3183,leigh,4.34,1.38,0.98,medium
28,ached,4.34,1.66,0.97,medium
6381,worms,4.34,8.33,0.98,medium
3336,lotus,4.34,1.97,0.94,medium
282,asian,4.34,1.97,0.97,medium
1491,dingo,4.35,2.18,0.99,medium
1761,elvia,4.35,1.36,1.0,medium
6207,walks,4.35,6.9,0.99,medium
2628,hippo,4.35,1.23,1.0,medium
4544,ratio,4.35,1.5,0.99,medium
1270,croat,4.35,1.28,1.0,medium
2340,golda,4.35,7.95,1.0,medium
2352,goode,4.35,2.31,1.0,medium
4310,poole,4.35,2.27,0.99,medium
2017,flank,4.35,5.36,0.99,medium
5531,sushi,4.35,4.59,0.99,medium
1812,ernie,4.35,1.59,0.99,medium
1798,epoxy,4.35,1.51,1.0,medium
3932,ochoa,4.35,3.56,1.0,medium
2823,irene,4.35,1.82,0.98,medium
5050,shoat,4.35,8.08,1.0,medium
6008,unary,4.35,1.43,1.0,medium
2946,juicy,4.35,4.46,0.98,medium
5064,shows,4.35,7.1,1.0,medium
5618,tamra,4.35,1.38,1.0,medium
5625,tansy,4.35,1.53,0.99,medium
2430,grout,4.35,1.14,0.99,medium
2438,gruff,4.35,1.52,1.0,medium
4391,prude,4.35,1.29,0.99,medium
1388,deals,4.35,70.09,0.96,medium
4280,poach,4.35,2.51,0.99,medium
4592,reify,4.35,1.49,1.0,medium
3905,numbs,4.35,1.63,0.96,medium
2454,gulch,4.35,1.76,1.0,medium
4958,selma,4.35,1.68,0.97,medium
6140,viral,4.35,1.85,0.99,medium
5437,stems,4.35,77.8,0.98,medium
5887,triad,4.35,1.12,1.0,medium
1375,datum,4.35,1.46,0.98,medium
6163,voila,4.35,1.41,1.0,medium
425,basra,4.35,1.84,1.0,medium
310,attic,4.35,1.65,0.99,medium
1969,fifth,4.35,4.48,0.99,medium
3116,lapin,4.35,1.32,1.0,medium
2115,frame,4.35,10.62,0.99,medium
6399,wring,4.35,2.43,0.98,medium
3518,mbini,4.35,1.15,0.99,medium
3477,marks,4.35,15.08,0.97,medium
3274,lives,4.35,9.81,0.95,medium
1282,crown,4.35,5.3,0.97,medium
2127,freon,4.35,1.95,1.0,medium
6277,whack,4.35,1.19,1.0,medium
1045,civet,4.35,1.62,1.0,medium
3248,linda,4.35,1.86,1.0,medium
3429,maize,4.35,4.91,0.99,medium
164,alvin,4.35,1.36,0.98,medium
3204,letup,4.36,1.64,0.99,medium
6414,wylie,4.36,1.88,0.95,medium
1683,dylan,4.36,1.4,1.0,medium
4938,sebum,4.36,1.65,0.99,medium
1179,copay,4.36,2.96,0.96,medium
5323,spark,4.36,8.9,0.97,medium
327,avery,4.36,1.2,1.0,medium
2696,hotly,4.36,1.46,0.96,medium
3134,later,4.36,6.8,0.95,medium
3811,negev,4.36,1.4,1.0,medium
1334,czech,4.36,1.41,1.0,medium
1344,dalai,4.36,1.93,0.98,medium
5418,stark,4.36,4.24,0.99,medium
3037,kmart,4.36,1.37,1.0,medium
3076,krupp,4.36,2.61,0.99,medium
4976,serum,4.36,1.68,1.0,medium
3996,orris,4.36,1.47,1.0,medium
819,bushy,4.36,4.61,0.96,medium
5752,thurs,4.36,1.87,0.99,medium
4276,plunk,4.36,1.65,0.99,medium
5550,swede,4.36,1.76,1.0,medium
5632,tardy,4.36,2.55,0.99,medium
2422,groat,4.36,6.24,0.99,medium
2435,grubs,4.36,1.68,1.0,medium
2947,julep,4.36,1.53,1.0,medium
457,beaut,4.36,2.64,1.0,medium
1880,fagot,4.36,2.07,0.99,medium
5249,snood,4.36,1.28,0.99,medium
1586,draco,4.36,1.55,0.98,medium
371,bairn,4.36,1.46,1.0,medium
1784,enema,4.36,1.41,1.0,medium
5311,sowed,4.36,8.2,0.95,medium
4620,rests,4.36,8.0,0.95,medium
868,cameo,4.36,2.37,0.99,medium
2009,fjord,4.36,1.38,1.0,medium
842,cache,4.36,3.71,1.0,medium
854,cairn,4.36,1.89,1.0,medium
2315,glove,4.36,2.0,0.99,medium
6031,unset,4.36,1.16,1.0,medium
3868,noels,4.36,2.06,0.96,medium
3784,nampa,4.36,7.49,0.99,medium
1010,chock,4.36,1.26,1.0,medium
1015,chops,4.36,3.12,0.98,medium
4093,pasco,4.36,1.79,1.0,medium
690,bowls,4.36,7.82,0.94,medium
6204,waldo,4.36,1.91,0.99,medium
5830,tools,4.36,8.77,0.96,medium
6383,worry,4.36,12.03,0.99,medium
6408,wryly,4.37,1.64,1.0,medium
1709,edema,4.37,1.31,1.0,medium
1756,elsie,4.37,1.5,1.0,medium
3404,mabel,4.37,3.54,0.96,medium
1052,clamp,4.37,1.29,0.99,medium
1548,donor,4.37,2.44,1.0,medium
5977,twila,4.37,1.41,0.99,medium
871,camry,4.37,1.21,0.98,medium
846,cadiz,4.37,2.46,0.99,medium
212,annie,4.37,3.44,1.0,medium
3222,lidos,4.37,1.58,0.95,medium
3229,liked,4.37,7.1,0.96,medium
4615,reset,4.37,1.53,0.99,medium
3885,nosed,4.37,2.95,0.96,medium
3889,notes,4.37,4.13,0.94,medium
1332,cysts,4.37,1.17,1.0,medium
3817,nepal,4.37,1.96,0.94,medium
4110,pauli,4.37,1.82,0.99,medium
3535,medea,4.37,1.35,1.0,medium
4172,pesky,4.37,2.82,0.98,medium
5679,tempo,4.37,1.55,1.0,medium
4393,pryor,4.37,1.27,1.0,medium
5192,slosh,4.37,1.97,0.98,medium
5342,spice,4.37,3.57,0.98,medium
5086,sieve,4.37,2.93,0.99,medium
3995,orlon,4.37,1.71,0.99,medium
362,badge,4.37,5.84,0.97,medium
2028,fleck,4.37,1.1,1.0,medium
2804,innit,4.37,1.82,0.98,medium
5948,tunis,4.37,2.21,0.94,medium
5393,squat,4.37,3.0,0.97,medium
4818,sahel,4.37,1.17,0.96,medium
3965,omaha,4.37,1.67,1.0,medium
4063,palms,4.37,4.56,0.96,medium
5159,slang,4.37,1.86,0.98,medium
791,bunco,4.37,6.5,1.0,medium
894,capri,4.37,2.97,0.96,medium
911,carom,4.37,1.82,0.99,medium
926,cathy,4.37,1.4,0.97,medium
5562,swirl,4.37,1.64,0.99,medium
5574,sybil,4.37,1.24,0.99,medium
4567,rebid,4.37,1.66,0.96,medium
4480,quirt,4.37,1.34,1.0,medium
2073,focus,4.37,1.79,0.98,medium
2081,folks,4.37,14.65,0.98,medium
3501,mauro,4.37,2.2,0.98,medium
3382,lurgy,4.37,2.31,1.0,medium
1040,circe,4.37,1.29,0.99,medium
3268,liszt,4.37,1.08,1.0,medium
6501,zloty,4.37,1.48,1.0,medium
2108,fowls,4.37,7.4,0.97,medium
6438,yaqui,4.37,2.21,0.98,medium
1196,corot,4.37,1.36,0.98,medium
274,arums,4.37,11.35,0.99,medium
275,aryan,4.37,1.85,1.0,medium
3459,manor,4.38,4.41,0.97,medium
1430,delia,4.38,3.38,0.99,medium
1464,diane,4.38,2.43,0.96,medium
560,bjork,4.38,1.19,1.0,medium
3842,night,4.38,9.71,0.86,medium
3875,nomad,4.38,1.41,0.99,medium
1802,equip,4.38,1.55,0.98,medium
5253,snort,4.38,1.58,0.99,medium
664,boots,4.38,7.17,0.97,medium
1896,farad,4.38,1.79,0.99,medium
5687,tense,4.38,1.22,0.99,medium
3763,myron,4.38,1.37,0.98,medium
4787,rushy,4.38,2.51,0.97,medium
5100,silty,4.38,1.35,1.0,medium
647,bones,4.38,19.14,0.9,medium
4507,raids,4.38,1.8,0.98,medium
2769,igloo,4.38,1.38,1.0,medium
2773,ilium,4.38,2.17,1.0,medium
2779,impel,4.38,1.52,0.99,medium
5960,tusks,4.38,3.84,0.99,medium
1097,clove,4.38,2.17,0.98,medium
2681,hoped,4.38,9.12,0.94,medium
706,braid,4.38,1.26,0.99,medium
3156,leads,4.38,7.18,0.95,medium
3595,milan,4.38,1.64,0.99,medium
5227,snafu,4.38,1.69,1.0,medium
4399,pubic,4.38,2.16,0.97,medium
2354,goody,4.38,5.13,1.0,medium
2399,grebe,4.38,1.44,1.0,medium
5174,slice,4.38,3.06,0.98,medium
1943,fermi,4.38,1.63,0.99,medium
4131,pecan,4.38,1.32,0.98,medium
325,avers,4.38,2.13,0.98,medium
163,alums,4.38,1.39,0.99,medium
1329,cynic,4.38,1.62,1.0,medium
6075,vapid,4.38,1.58,0.98,medium
3795,natal,4.38,6.18,1.0,medium
4749,rowan,4.38,1.11,1.0,medium
847,cadre,4.38,1.48,1.0,medium
214,annul,4.38,1.81,0.99,medium
2308,glitz,4.38,1.44,1.0,medium
2309,gloat,4.38,1.47,0.99,medium
1505,dishy,4.38,1.54,0.94,medium
4364,prime,4.38,5.65,0.95,medium
3820,nerve,4.38,3.36,1.0,medium
6390,woven,4.38,69.56,0.99,medium
37,acrux,4.38,1.43,1.0,medium
3262,lipid,4.39,1.55,1.0,medium
59,admin,4.39,1.41,0.99,medium
71,aerie,4.39,1.44,0.98,medium
1727,egret,4.39,1.37,0.99,medium
5281,solon,4.39,1.18,0.98,medium
2079,folic,4.39,2.0,1.0,medium
3514,mayra,4.39,1.76,0.99,medium
2764,idled,4.39,1.45,1.0,medium
4745,routs,4.39,1.45,0.97,medium
816,busch,4.39,1.52,1.0,medium
2707,huang,4.39,1.54,1.0,medium
4509,rains,4.39,3.47,0.94,medium
1821,erwin,4.39,2.06,1.0,medium
418,basho,4.39,1.92,1.0,medium
4985,sewed,4.39,4.15,1.0,medium
1400,debts,4.39,4.21,0.95,medium
5682,tench,4.39,1.42,1.0,medium
5695,terri,4.39,1.64,0.95,medium
2483,hadar,4.39,1.88,0.98,medium
4104,patio,4.39,1.69,0.99,medium
1720,educe,4.39,1.6,1.0,medium
4417,punch,4.39,2.95,0.98,medium
2260,getup,4.39,1.49,1.0,medium
5511,sulfa,4.39,1.78,0.98,medium
432,baths,4.39,8.72,0.96,medium
4232,pitta,4.39,1.71,1.0,medium
952,cetus,4.39,3.91,0.99,medium
5963,tutti,4.39,1.49,1.0,medium
5971,tween,4.39,1.52,0.98,medium
595,bloch,4.39,1.47,1.0,medium
1895,fanny,4.39,5.91,0.99,medium
484,belch,4.39,3.96,0.98,medium
3010,kiddo,4.39,1.43,1.0,medium
4345,prang,4.39,2.39,0.98,medium
2096,forms,4.39,16.83,0.96,medium
5071,shuck,4.39,2.15,0.98,medium
4616,resew,4.39,2.05,0.99,medium
4948,seems,4.39,6.92,0.99,medium
120,alcoa,4.39,1.22,0.95,medium
2054,flows,4.39,7.29,0.98,medium
6378,wordy,4.39,2.27,0.98,medium
3467,marco,4.39,3.12,0.97,medium
3260,linux,4.39,1.61,0.96,medium
2670,honky,4.4,1.95,0.99,medium
4721,rondo,4.4,28.9,1.0,medium
