n_tries,n_choices,guesses,feedback,won
7,"[6512, 1093, 50, 5, 3, 2, 1]","['while', 'poems', 'asked', 'saved', 'cased', 'based', 'eased']","{'false_letters': ['p', 'i', 'o', 'v', 'w', 'm', 'b', 'l', 'k', 'h', 'c'], 'true_letters': {3: 'e', 4: 'd', 1: 'a', 2: 's', 0: 'e'}, 'misplaced_letters': {4: ['e', 's'], 2: ['e'], 0: ['a', 's'], 1: ['s']}}",0
3,"[6512, 1029, 13]","['total', 'naked', 'nancy']","{'false_letters': ['e', 'o', 'd', 'l', 'k', 't'], 'true_letters': {0: 'n', 1: 'a', 2: 'n', 3: 'c', 4: 'y'}, 'misplaced_letters': {3: ['a']}}",1
4,"[6512, 590, 90, 3]","['learn', 'couch', 'mists', 'jimmy']","{'false_letters': ['e', 'u', 'o', 'n', 's', 'a', 'r', 'l', 't', 'h', 'c'], 'true_letters': {1: 'i', 0: 'j', 2: 'm', 3: 'm', 4: 'y'}, 'misplaced_letters': {0: ['m']}}",1
4,"[6512, 134, 35, 1]","['naomi', 'ranks', 'lance', 'fancy']","{'false_letters': ['e', 'i', 'o', 'm', 's', 'l', 'r', 'k'], 'true_letters': {1: 'a', 2: 'n', 3: 'c', 0: 'f', 4: 'y'}, 'misplaced_letters': {0: ['n']}}",1
4,"[6512, 213, 2, 1]","['walls', 'speak', 'strap', 'scrap']","{'false_letters': ['e', 'w', 'l', 'k', 't'], 'true_letters': {0: 's', 3: 'a', 2: 'r', 4: 'p', 1: 'c'}, 'misplaced_letters': {1: ['a', 'p'], 4: ['s']}}",1
4,"[6512, 1971, 64, 3]","['judge', 'small', 'shaky', 'shark']","{'false_letters': ['e', 'j', 'u', 'y', 'g', 'd', 'm', 'l'], 'true_letters': {0: 's', 2: 'a', 1: 'h', 3: 'r', 4: 'k'}, 'misplaced_letters': {3: ['k']}}",1
3,"[6512, 1064, 32]","['erect', 'giles', 'begun']","{'false_letters': ['i', 's', 'l', 'r', 't', 'c'], 'true_letters': {0: 'b', 1: 'e', 2: 'g', 3: 'u', 4: 'n'}, 'misplaced_letters': {0: ['e', 'g'], 2: ['e'], 3: ['e']}}",1
3,"[6512, 67, 3]","['labor', 'bonds', 'obeys']","{'false_letters': ['n', 'd', 'a', 'r', 'l'], 'true_letters': {4: 's', 0: 'o', 1: 'b', 2: 'e', 3: 'y'}, 'misplaced_letters': {2: ['b'], 3: ['o'], 0: ['b'], 1: ['o']}}",1
2,"[6512, 2]","['began', 'begun']","{'false_letters': ['a'], 'true_letters': {0: 'b', 1: 'e', 2: 'g', 4: 'n', 3: 'u'}, 'misplaced_letters': {}}",1
4,"[6512, 218, 58, 3]","['shalt', 'screw', 'signs', 'songs']","{'false_letters': ['e', 'i', 'w', 'l', 'r', 'a', 't', 'h', 'c'], 'true_letters': {0: 's', 4: 's', 1: 'o', 2: 'n', 3: 'g'}, 'misplaced_letters': {2: ['g'], 3: ['n']}}",1
3,"[6512, 391, 19]","['latin', 'pipes', 'swims']","{'false_letters': ['p', 'e', 'n', 'a', 'l', 't'], 'true_letters': {4: 's', 0: 's', 1: 'w', 2: 'i', 3: 'm'}, 'misplaced_letters': {3: ['i'], 1: ['i']}}",1
4,"[6512, 1384, 236, 8]","['jesse', 'silas', 'corps', 'knows']","{'false_letters': ['e', 'p', 'j', 'i', 'l', 'a', 'r', 'c'], 'true_letters': {4: 's', 0: 'k', 1: 'n', 2: 'o', 3: 'w'}, 'misplaced_letters': {2: ['s'], 3: ['s'], 0: ['s'], 1: ['o']}}",1
3,"[6512, 317, 1]","['otter', 'filth', 'shift']","{'false_letters': ['e', 'r', 'o', 'l'], 'true_letters': {0: 's', 1: 'h', 2: 'i', 3: 'f', 4: 't'}, 'misplaced_letters': {1: ['t', 'i'], 2: ['t'], 0: ['f'], 3: ['t'], 4: ['h']}}",1
5,"[6512, 985, 123, 2, 1]","['dived', 'tenor', 'place', 'space', 'apace']","{'false_letters': ['i', 'o', 'v', 'n', 'd', 's', 'l', 'r', 't'], 'true_letters': {2: 'a', 3: 'c', 4: 'e', 1: 'p', 0: 'a'}, 'misplaced_letters': {3: ['e'], 1: ['e'], 0: ['p']}}",1
4,"[6512, 79, 8, 2]","['couch', 'myrrh', 'irish', 'wrath']","{'false_letters': ['u', 'i', 'o', 'y', 'm', 's', 'c'], 'true_letters': {4: 'h', 1: 'r', 0: 'w', 2: 'a', 3: 't'}, 'misplaced_letters': {2: ['r'], 3: ['r']}}",1
4,"[6512, 11, 3, 1]","['famed', 'stead', 'heard', 'beard']","{'false_letters': ['f', 'm', 's', 't', 'h'], 'true_letters': {4: 'd', 1: 'e', 2: 'a', 3: 'r', 0: 'b'}, 'misplaced_letters': {1: ['a'], 3: ['e', 'a'], 2: ['e']}}",1
3,"[6512, 18, 4]","['shoot', 'mouth', 'worth']","{'false_letters': ['u', 'm', 's'], 'true_letters': {1: 'o', 3: 't', 4: 'h', 0: 'w', 2: 'r'}, 'misplaced_letters': {1: ['h'], 2: ['o'], 3: ['o'], 4: ['t']}}",1
3,"[6512, 506, 2]","['wreck', 'dirty', 'hardy']","{'false_letters': ['e', 'i', 'w', 'k', 't', 'c'], 'true_letters': {2: 'r', 4: 'y', 0: 'h', 1: 'a', 3: 'd'}, 'misplaced_letters': {1: ['r'], 0: ['d']}}",1
3,"[6512, 811, 21]","['lions', 'added', 'death']","{'false_letters': ['i', 'o', 'n', 's', 'l'], 'true_letters': {0: 'd', 1: 'e', 2: 'a', 3: 't', 4: 'h'}, 'misplaced_letters': {0: ['a'], 1: ['d'], 2: ['d'], 3: ['e'], 4: ['d']}}",1
4,"[6512, 2493, 29, 9]","['lucky', 'among', 'begin', 'wings']","{'false_letters': ['e', 'u', 'o', 'y', 'm', 'b', 'l', 'a', 'k', 'c'], 'true_letters': {0: 'w', 1: 'i', 2: 'n', 3: 'g', 4: 's'}, 'misplaced_letters': {3: ['n', 'i'], 4: ['g', 'n'], 2: ['g']}}",1
4,"[6512, 619, 74, 6]","['stops', 'order', 'worry', 'rough']","{'false_letters': ['p', 'e', 'y', 'w', 'd', 's', 't'], 'true_letters': {1: 'o', 0: 'r', 2: 'u', 3: 'g', 4: 'h'}, 'misplaced_letters': {2: ['o', 'r'], 0: ['o'], 1: ['r'], 4: ['r'], 3: ['r']}}",1
4,"[6512, 182, 3, 2]","['snout', 'wagon', 'woven', 'women']","{'false_letters': ['u', 'v', 'g', 's', 'a', 't'], 'true_letters': {0: 'w', 4: 'n', 1: 'o', 3: 'e', 2: 'm'}, 'misplaced_letters': {1: ['n'], 2: ['o'], 3: ['o']}}",1
4,"[6512, 529, 76, 6]","['plank', 'lower', 'dimly', 'bulls']","{'false_letters': ['p', 'e', 'i', 'o', 'y', 'n', 'w', 'd', 'm', 'a', 'r', 'k'], 'true_letters': {3: 'l', 0: 'b', 1: 'u', 2: 'l', 4: 's'}, 'misplaced_letters': {1: ['l'], 0: ['l']}}",1
3,"[6512, 56, 2]","['tides', 'dairy', 'david']","{'false_letters': ['e', 'y', 's', 'r', 't'], 'true_letters': {0: 'd', 1: 'a', 2: 'v', 3: 'i', 4: 'd'}, 'misplaced_letters': {1: ['i'], 2: ['d', 'i']}}",1
3,"[6512, 11, 2]","['major', 'farms', 'harem']","{'false_letters': ['f', 'j', 'o', 's'], 'true_letters': {1: 'a', 2: 'r', 0: 'h', 3: 'e', 4: 'm'}, 'misplaced_letters': {0: ['m'], 4: ['r'], 3: ['m']}}",1
5,"[6512, 1531, 259, 12, 1]","['casks', 'ether', 'dimly', 'gogol', 'flung']","{'false_letters': ['e', 'i', 'o', 'y', 'd', 'm', 's', 'a', 'r', 'k', 't', 'h', 'c'], 'true_letters': {0: 'f', 1: 'l', 2: 'u', 3: 'n', 4: 'g'}, 'misplaced_letters': {3: ['l'], 0: ['g'], 2: ['g'], 4: ['l']}}",1
4,"[6512, 11, 3, 2]","['cries', 'pairs', 'hairs', 'fairs']","{'false_letters': ['e', 'p', 'c', 'h'], 'true_letters': {2: 'i', 4: 's', 1: 'a', 3: 'r', 0: 'f'}, 'misplaced_letters': {1: ['r']}}",1
4,"[6512, 544, 23, 3]","['acrid', 'twins', 'opine', 'pliny']","{'false_letters': ['e', 'o', 'w', 'd', 's', 'a', 'r', 't', 'c'], 'true_letters': {2: 'i', 3: 'n', 0: 'p', 1: 'l', 4: 'y'}, 'misplaced_letters': {3: ['i'], 1: ['p']}}",1
5,"[6512, 945, 33, 14, 1]","['flesh', 'taken', 'ended', 'piney', 'money']","{'false_letters': ['f', 'p', 'i', 'd', 's', 'l', 'a', 'k', 't', 'h'], 'true_letters': {3: 'e', 2: 'n', 4: 'y', 0: 'm', 1: 'o'}, 'misplaced_letters': {2: ['e'], 4: ['n'], 0: ['e'], 1: ['n']}}",1
4,"[6512, 86, 5, 2]","['stone', 'fangs', 'finis', 'finds']","{'false_letters': ['e', 'o', 'g', 'a', 't'], 'true_letters': {0: 'f', 2: 'n', 4: 's', 1: 'i', 3: 'd'}, 'misplaced_letters': {0: ['s'], 3: ['n', 'i']}}",1
5,"[6512, 232, 32, 17, 1]","['gloom', 'judge', 'egypt', 'being', 'anger']","{'false_letters': ['p', 'j', 'u', 'o', 'y', 'i', 'd', 'm', 'b', 'l', 't'], 'true_letters': {0: 'a', 1: 'n', 2: 'g', 3: 'e', 4: 'r'}, 'misplaced_letters': {0: ['g', 'e'], 3: ['g', 'n'], 4: ['e', 'g'], 1: ['g', 'e']}}",1
6,"[6512, 163, 14, 5, 4, 3]","['negro', 'lions', 'downy', 'bound', 'found', 'pound']","{'false_letters': ['e', 'f', 'i', 'y', 'g', 'w', 'b', 's', 'l', 'r'], 'true_letters': {3: 'n', 1: 'o', 2: 'u', 4: 'd', 0: 'p'}, 'misplaced_letters': {0: ['n', 'd'], 4: ['o'], 2: ['o']}}",1
3,"[6512, 659, 1]","['owing', 'civil', 'mimic']","{'false_letters': ['o', 'n', 'v', 'w', 'g', 'l'], 'true_letters': {1: 'i', 3: 'i', 0: 'm', 2: 'm', 4: 'c'}, 'misplaced_letters': {2: ['i'], 0: ['c']}}",1
3,"[6512, 26, 1]","['leans', 'sadly', 'salad']","{'false_letters': ['e', 'y', 'n'], 'true_letters': {0: 's', 1: 'a', 2: 'l', 3: 'a', 4: 'd'}, 'misplaced_letters': {0: ['l'], 2: ['a', 'd'], 4: ['s'], 3: ['l']}}",1
5,"[6512, 97, 22, 3, 1]","['hindu', 'goods', 'yards', 'leads', 'beads']","{'false_letters': ['u', 'i', 'o', 'y', 'n', 'g', 'l', 'r', 'h'], 'true_letters': {3: 'd', 4: 's', 1: 'e', 2: 'a', 0: 'b'}, 'misplaced_letters': {1: ['a']}}",1
5,"[6512, 552, 63, 3, 2]","['basis', 'piety', 'cliff', 'child', 'chill']","{'false_letters': ['p', 'e', 'f', 'y', 'd', 'b', 's', 'a', 't'], 'true_letters': {0: 'c', 2: 'i', 1: 'h', 3: 'l', 4: 'l'}, 'misplaced_letters': {3: ['i'], 1: ['i', 'l']}}",1
3,"[6512, 114, 1]","['swine', 'round', 'burnt']","{'false_letters': ['e', 'i', 'o', 'w', 'd', 's'], 'true_letters': {3: 'n', 0: 'b', 1: 'u', 2: 'r', 4: 't'}, 'misplaced_letters': {0: ['r'], 2: ['u']}}",1
4,"[6512, 127, 23, 1]","['dears', 'close', 'sinew', 'shewn']","{'false_letters': ['i', 'o', 'd', 'a', 'r', 'l', 'c'], 'true_letters': {0: 's', 1: 'h', 2: 'e', 3: 'w', 4: 'n'}, 'misplaced_letters': {1: ['e'], 4: ['s', 'e', 'w'], 3: ['s', 'e'], 2: ['n']}}",1
5,"[6512, 1177, 6, 4, 1]","['antic', 'lodge', 'droll', 'flood', 'blood']","{'false_letters': ['e', 'f', 'i', 'n', 'g', 'a', 'r', 't', 'c'], 'true_letters': {2: 'o', 1: 'l', 3: 'o', 4: 'd', 0: 'b'}, 'misplaced_letters': {0: ['l', 'd'], 1: ['o'], 2: ['d'], 3: ['l'], 4: ['l']}}",1
6,"[6512, 579, 96, 14, 10, 1]","['vaunt', 'cards', 'falls', 'palms', 'walks', 'balks']","{'false_letters': ['f', 'p', 'u', 'v', 'n', 'w', 'd', 'm', 'r', 't', 'c'], 'true_letters': {1: 'a', 4: 's', 2: 'l', 3: 'k', 0: 'b'}, 'misplaced_letters': {3: ['l']}}",1
3,"[6512, 2335, 1]","['flock', 'these', 'trash']","{'false_letters': ['f', 'e', 'o', 'l', 'k', 'c'], 'true_letters': {0: 't', 3: 's', 1: 'r', 2: 'a', 4: 'h'}, 'misplaced_letters': {1: ['h']}}",1
5,"[6512, 723, 5, 3, 1]","['again', 'exile', 'while', 'stile', 'smile']","{'false_letters': ['n', 'x', 'g', 'w', 'a', 't', 'h'], 'true_letters': {2: 'i', 3: 'l', 4: 'e', 0: 's', 1: 'm'}, 'misplaced_letters': {3: ['i'], 0: ['e']}}",1
7,"[6512, 246, 91, 10, 6, 5, 4]","['rolls', 'turns', 'wraps', 'fears', 'years', 'bears', 'dears']","{'false_letters': ['p', 'f', 'u', 'o', 'y', 'n', 'w', 'b', 'l', 't'], 'true_letters': {4: 's', 2: 'a', 1: 'e', 3: 'r', 0: 'd'}, 'misplaced_letters': {0: ['r'], 2: ['r'], 1: ['r']}}",0
3,"[6512, 82, 4]","['cares', 'roots', 'rooms']","{'false_letters': ['e', 't', 'a', 'c'], 'true_letters': {4: 's', 0: 'r', 1: 'o', 2: 'o', 3: 'm'}, 'misplaced_letters': {2: ['r']}}",1
6,"[6512, 219, 55, 35, 28, 2]","['delay', 'rowed', 'steed', 'edged', 'fixed', 'mixed']","{'false_letters': ['f', 'o', 'y', 'w', 'g', 's', 'l', 'r', 'a', 't'], 'true_letters': {3: 'e', 4: 'd', 1: 'i', 2: 'x', 0: 'm'}, 'misplaced_letters': {0: ['d', 'e'], 1: ['e', 'd'], 2: ['e']}}",1
4,"[6512, 70, 5, 1]","['often', 'proof', 'flora', 'roofs']","{'false_letters': ['p', 'e', 'n', 'a', 'l', 't'], 'true_letters': {2: 'o', 0: 'r', 1: 'o', 3: 'f', 4: 's'}, 'misplaced_letters': {0: ['o', 'f'], 1: ['f', 'r'], 3: ['o', 'r'], 4: ['f']}}",1
4,"[6512, 1404, 53, 2]","['dozen', 'tasks', 'crush', 'spicy']","{'false_letters': ['e', 'u', 'z', 'o', 'n', 'd', 'a', 'r', 'k', 't', 'h'], 'true_letters': {0: 's', 1: 'p', 2: 'i', 3: 'c', 4: 'y'}, 'misplaced_letters': {2: ['s'], 4: ['s'], 0: ['c'], 3: ['s']}}",1
5,"[6512, 1336, 115, 21, 4]","['masts', 'fired', 'knock', 'jolly', 'bobby']","{'false_letters': ['f', 'e', 'j', 'i', 'n', 'd', 'm', 's', 'a', 'r', 'l', 'k', 't', 'c'], 'true_letters': {1: 'o', 4: 'y', 0: 'b', 2: 'b', 3: 'b'}, 'misplaced_letters': {2: ['o']}}",1
4,"[6512, 2107, 65, 8]","['catch', 'rooms', 'union', 'below']","{'false_letters': ['u', 'i', 'n', 'm', 's', 'a', 'r', 't', 'h', 'c'], 'true_letters': {3: 'o', 0: 'b', 1: 'e', 2: 'l', 4: 'w'}, 'misplaced_letters': {1: ['o'], 2: ['o']}}",1
5,"[6512, 1299, 18, 6, 1]","['scrub', 'agent', 'awake', 'aimed', 'added']","{'false_letters': ['u', 'i', 'n', 'g', 'w', 'm', 'b', 's', 'r', 'k', 't', 'c'], 'true_letters': {0: 'a', 3: 'e', 4: 'd', 1: 'd', 2: 'd'}, 'misplaced_letters': {2: ['e', 'a'], 4: ['e']}}",1
4,"[6512, 868, 43, 3]","['crime', 'based', 'texas', 'speak']","{'false_letters': ['i', 'x', 'm', 'b', 'd', 'r', 't', 'c'], 'true_letters': {3: 'a', 0: 's', 1: 'p', 2: 'e', 4: 'k'}, 'misplaced_letters': {4: ['e', 's'], 1: ['a', 'e'], 2: ['s'], 3: ['e']}}",1
4,"[6512, 330, 28, 1]","['union', 'ranks', 'plant', 'plane']","{'false_letters': ['u', 'i', 'o', 's', 'r', 'k', 't'], 'true_letters': {0: 'p', 1: 'l', 2: 'a', 3: 'n', 4: 'e'}, 'misplaced_letters': {1: ['n', 'a'], 4: ['n'], 2: ['n']}}",1
3,"[6512, 16, 2]","['burnt', 'begat', 'boast']","{'false_letters': ['e', 'u', 'n', 'g', 'r'], 'true_letters': {0: 'b', 4: 't', 1: 'o', 2: 'a', 3: 's'}, 'misplaced_letters': {3: ['a']}}",1
4,"[6512, 1298, 12, 3]","['winds', 'cheer', 'camel', 'covet']","{'false_letters': ['i', 'n', 'w', 'd', 'm', 's', 'a', 'r', 'l', 'h'], 'true_letters': {0: 'c', 3: 'e', 1: 'o', 2: 'v', 4: 't'}, 'misplaced_letters': {2: ['e']}}",1
3,"[6512, 472, 46]","['micah', 'poise', 'swift']","{'false_letters': ['p', 'e', 'o', 'm', 'a', 'h', 'c'], 'true_letters': {2: 'i', 0: 's', 1: 'w', 3: 'f', 4: 't'}, 'misplaced_letters': {1: ['i'], 3: ['s']}}",1
3,"[6512, 24, 1]","['dukes', 'cause', 'pause']","{'false_letters': ['d', 'k', 'c'], 'true_letters': {1: 'a', 2: 'u', 3: 's', 4: 'e', 0: 'p'}, 'misplaced_letters': {1: ['u'], 3: ['e'], 4: ['s']}}",1
5,"[6512, 422, 17, 4, 2]","['judge', 'chase', 'theme', 'three', 'thine']","{'false_letters': ['u', 'j', 'g', 'd', 'm', 's', 'a', 'r', 'c'], 'true_letters': {4: 'e', 1: 'h', 0: 't', 2: 'i', 3: 'n'}, 'misplaced_letters': {2: ['e'], 3: ['e']}}",1
4,"[6512, 635, 177, 15]","['couch', 'tombs', 'lodge', 'downy']","{'false_letters': ['e', 'u', 'g', 'm', 'b', 's', 'l', 't', 'h', 'c'], 'true_letters': {1: 'o', 0: 'd', 2: 'w', 3: 'n', 4: 'y'}, 'misplaced_letters': {2: ['d']}}",1
3,"[6512, 164, 3]","['goats', 'sally', 'false']","{'false_letters': ['t', 'g', 'o', 'y'], 'true_letters': {1: 'a', 2: 'l', 0: 'f', 3: 's', 4: 'e'}, 'misplaced_letters': {2: ['a'], 4: ['s'], 0: ['s'], 3: ['l']}}",1
2,"[6512, 3]","['surer', 'ruled']","{'false_letters': ['s'], 'true_letters': {1: 'u', 3: 'e', 0: 'r', 2: 'l', 4: 'd'}, 'misplaced_letters': {2: ['r'], 4: ['r']}}",1
4,"[6512, 16, 4, 3]","['suite', 'house', 'mouse', 'rouse']","{'false_letters': ['t', 'i', 'h', 'm'], 'true_letters': {4: 'e', 1: 'o', 2: 'u', 3: 's', 0: 'r'}, 'misplaced_letters': {0: ['s'], 1: ['u']}}",1
3,"[6512, 208, 5]","['gives', 'scare', 'fresh']","{'false_letters': ['i', 'v', 'g', 'a', 'c'], 'true_letters': {0: 'f', 1: 'r', 2: 'e', 3: 's', 4: 'h'}, 'misplaced_letters': {3: ['e', 'r'], 4: ['s', 'e'], 0: ['s']}}",1
5,"[6512, 1321, 455, 4, 1]","['fluke', 'tenth', 'robes', 'spear', 'sperm']","{'false_letters': ['f', 'u', 'o', 'n', 'b', 'l', 'a', 'k', 't', 'h'], 'true_letters': {0: 's', 1: 'p', 2: 'e', 3: 'r', 4: 'm'}, 'misplaced_letters': {4: ['e', 's', 'r'], 1: ['e'], 0: ['r'], 3: ['e']}}",1
3,"[6512, 306, 5]","['goads', 'pains', 'silas']","{'false_letters': ['p', 'o', 'n', 'g', 'd'], 'true_letters': {4: 's', 0: 's', 1: 'i', 2: 'l', 3: 'a'}, 'misplaced_letters': {2: ['a', 'i'], 1: ['a']}}",1
6,"[6512, 452, 132, 50, 5, 4]","['awake', 'hated', 'fares', 'vales', 'males', 'bales']","{'false_letters': ['f', 'v', 'w', 'd', 'm', 'r', 'k', 't', 'h'], 'true_letters': {1: 'a', 3: 'e', 4: 's', 2: 'l', 0: 'b'}, 'misplaced_letters': {0: ['a'], 2: ['a'], 4: ['e']}}",1
